City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,hermanus,-34.4187,19.2345,19.89,71,32,2.14,ZA,1682435271
110,melo,-32.3667,-54.1833,21.55,73,100,4.66,UY,1682435271
111,isangel,-19.55,169.2667,25.08,75,73,2.32,VU,1682435271
112,bubaque,11.2833,-15.8333,26.23,67,2,5.53,GW,1682435271
113,tommot,58.9564,126.2925,-7.17,96,97,1.4,RU,1682435271
114,taoudenni,22.6783,-3.9836,38.57,5,0,6.73,ML,1682435271
115,polyarnyy,69.1989,33.4478,0.13,73,10,7.36,RU,1682435271
116,rio gallegos,-51.6226,-69.2181,9.03,53,0,12.35,AR,1682435272
117,edmond,35.6528,-97.4781,8.95,90,100,5.36,US,1682435244
118,port alfred,-33.5906,26.891,21.77,86,94,0.45,ZA,1682435272
119,whitehorse,60.7161,-135.0538,-2.72,85,20,1.03,CA,1682435087
120,tarfaya,27.9358,-12.9218,20.94,78,31,4.11,MA,1682435272
121,kristinestad,62.2743,21.376,11.17,96,100,5.46,FI,1682435272
122,puerto ayora,-0.7393,-90.3518,27.98,89,5,1.79,EC,1682435273
123,el porvenir,13.7617,-87.3458,25.63,64,78,1.59,HN,1682435273
124,tiksi,71.6872,128.8694,-13.87,99,100,1.29,RU,1682435273
125,karratha,-20.7377,116.8463,27.14,42,100,4.88,AU,1682435273
126,bilibino,68.0546,166.4372,-15.29,76,92,1.6,RU,1682435273
127,kano,12.0001,8.5167,39.56,12,75,2.62,NG,1682435273
128,qaqortoq,60.7167,-46.0333,1.99,88,99,1.81,GL,1682435273
129,ruzayevka,54.0639,44.9509,10.95,91,100,8.16,RU,1682435273
130,bikenibeu village,1.3673,173.1241,26.98,89,75,1.03,KI,1682435273
131,guiglo,6.5456,-7.4966,34.15,45,90,0.97,CI,1682435274
132,talnakh,69.4865,88.3972,-3.95,86,68,2.58,RU,1682435274
133,bor,56.3567,44.0669,12.96,90,100,3.91,RU,1682435274
134,bayanaul,50.7889,75.6956,9.4,69,69,2.86,KZ,1682435274
135,merizo village,13.2658,144.6691,27.31,95,46,6.78,GU,1682435274
136,rong kwang,18.339,100.3174,31.36,38,63,1.26,TH,1682435275
137,avarua,-21.2078,-159.775,25.03,78,88,2.57,CK,1682435275
138,faya-largeau,17.9257,19.1043,40.7,6,26,4.63,TD,1682435275
139,tromso,69.6496,18.957,2.01,51,0,4.63,NO,1682435275
140,ilulissat,69.2167,-51.1,2.01,55,75,0.51,GL,1682435275
141,pangody,65.85,74.4859,-3.69,91,100,2.65,RU,1682435275
142,borzya,50.3833,116.5167,4.84,18,100,5.62,RU,1682435275
143,barcelos,41.5388,-8.6151,23.29,59,60,3.68,PT,1682435275
144,vorkuta,67.5,64.0,-8.87,93,8,3.4,RU,1682435275
145,kourou,5.1552,-52.6478,26.03,78,81,3.62,GF,1682435275
146,petropavlovsk-kamchatsky,53.0452,158.6483,-2.34,80,50,4.89,RU,1682435275
147,wailua homesteads,22.0669,-159.378,20.44,83,75,4.12,US,1682435276
148,port elizabeth,-33.918,25.5701,20.61,85,55,2.24,ZA,1682435276
149,nabire,-3.3667,135.4833,25.37,91,100,1.13,ID,1682435276
150,fale old settlement,-9.3852,-171.2468,28.69,75,87,3.32,TK,1682435276
151,sandnessjoen,66.0217,12.6316,4.8,46,75,5.66,NO,1682435276
152,marsh harbour,26.5412,-77.0636,24.31,72,10,6.66,BS,1682435129
153,tamanrasset,22.785,5.5228,31.95,8,0,1.03,DZ,1682435277
154,new norfolk,-42.7826,147.0587,13.72,67,0,1.53,AU,1682435277
155,dombasle-sur-meurthe,48.6252,6.3497,14.38,82,75,3.09,FR,1682435277
156,paso robles,35.6266,-120.691,14.09,93,100,1.54,US,1682435202
157,anuradhapura,8.3565,80.4173,26.05,86,100,1.59,LK,1682435277
158,joshimath,30.5667,79.5667,12.41,74,94,2.06,IN,1682435277
159,tinajo,29.0788,-13.7081,21.49,73,0,3.6,ES,1682435277
160,atafu village,-8.5421,-172.5159,28.66,76,57,4.12,TK,1682435278
161,jumla,29.2747,82.1838,8.19,82,67,1.19,NP,1682435278
162,prince rupert,54.3161,-130.3201,4.83,93,100,4.12,CA,1682435120
163,akureyri,65.6835,-18.0878,0.12,50,100,1.62,IS,1682435278
164,uttarkashi,30.7333,78.45,18.93,53,94,1.91,IN,1682435278
165,dudinka,69.4058,86.1778,0.53,96,100,4.7,RU,1682435278
166,ulaangom,49.9811,92.0667,1.23,39,30,8.18,MN,1682435279
167,zouerate,22.7187,-12.4521,34.83,12,6,3.1,MR,1682435279
168,selfoss,63.9331,-20.9971,4.51,52,100,1.88,IS,1682435279
169,badger,64.8,-147.5333,-9.07,53,40,4.12,US,1682435279
170,utrik,11.2278,169.8474,27.12,77,88,8.55,MH,1682435279
171,les anglais,18.3054,-74.2197,27.61,61,67,1.85,HT,1682435279
172,chadan,51.2833,91.5833,-1.08,47,67,2.84,RU,1682435279
173,yuzhno-kurilsk,44.0306,145.8556,3.12,88,100,3.4,RU,1682435280
174,huntsville,34.7304,-86.5861,14.11,52,100,3.09,US,1682435161
175,kingsbridge,50.2845,-3.7764,12.2,64,99,6.99,GB,1682435030
176,kuala lipis,4.1842,102.0468,24.01,93,100,0.26,MY,1682435280
177,nova sintra,14.8667,-24.7167,20.3,74,0,8.69,CV,1682435280
178,key west,24.5557,-81.7826,25.0,94,100,5.66,US,1682435152
179,vila velha,-20.3297,-40.2925,25.97,81,75,2.06,BR,1682435214
180,ancud,-41.8697,-73.8203,11.29,98,100,4.0,CL,1682435280
181,anadyr,64.75,177.4833,-11.72,79,0,1.0,RU,1682435281
182,sao vicente,-23.9631,-46.3919,28.48,61,97,1.34,BR,1682435281
183,east london,-33.0153,27.9116,21.24,85,96,3.55,ZA,1682435281
184,san antonio de pale,-1.4014,5.6325,28.59,71,100,0.62,GQ,1682435281
185,saacow,1.6279,42.4407,25.23,86,99,8.84,SO,1682435281
186,chui,-33.6971,-53.4616,19.54,89,100,3.12,UY,1682435281
187,kailua-kona,19.6406,-155.9956,23.11,81,20,2.68,US,1682435094
188,praia da vitoria,38.7333,-27.0667,19.86,88,6,6.77,PT,1682435282
189,puerto natales,-51.7236,-72.4875,9.25,53,40,8.75,CL,1682435263
190,port lincoln,-34.7333,135.8667,19.93,58,93,5.04,AU,1682435282
191,dar kulayb,26.0686,50.5039,28.28,62,59,4.18,BH,1682435282
192,suntar,62.1444,117.6319,-3.91,98,100,1.56,RU,1682435283
193,oroqen zizhiqi,50.5667,123.7167,-2.45,48,45,0.95,CN,1682435283
194,calbuco,-41.768,-73.1273,12.56,92,100,4.95,CL,1682435284
195,patterson,37.4716,-121.1297,17.81,70,11,3.9,US,1682435284
196,la'ie,21.6477,-157.9253,22.98,85,88,1.79,US,1682435284
197,sitangkai,4.6628,119.3928,29.04,72,89,3.13,PH,1682435285
198,kuruman,-27.4524,23.4325,25.0,28,0,4.85,ZA,1682435285
199,portland,45.5234,-122.6762,9.14,91,75,1.54,US,1682435280
200,pangkalpinang,-2.1333,106.1333,26.41,80,19,0.32,ID,1682435286
201,bogotol,56.2078,89.5342,-1.65,77,100,5.92,RU,1682435286
202,aral,40.5156,81.2636,20.42,19,10,11.84,CN,1682435122
203,sao joao da barra,-21.6403,-41.0511,26.05,70,53,2.25,BR,1682435121
204,prince george,53.9166,-122.753,6.25,53,0,4.12,CA,1682434998
205,kittila,67.6647,24.8936,4.08,33,0,4.12,FI,1682435287
206,wainwright,52.839,-110.8572,5.97,74,96,1.32,CA,1682435287
207,thunder bay,48.4001,-89.3168,0.99,82,68,2.78,CA,1682435287
208,warmbad,-28.45,18.7333,29.34,24,0,2.74,NA,1682435287
209,mount pearl,47.5166,-52.7813,3.03,94,100,3.13,CA,1682435287
210,vaskelovo,60.3693,30.3534,18.52,36,82,3.29,RU,1682435288
211,nizao,18.25,-70.2,29.64,63,67,3.68,DO,1682435288
212,kilindoni,-7.9139,39.6668,27.38,80,37,7.4,TZ,1682435288
